TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %
40.0,10.0,20.0,-188.0,-191.0,-379.0,784.5,30.0
40.0,10.0,30.0,-198.0,-211.0,-409.0,814.5,30.0
40.0,10.0,40.0,-208.0,-238.5,-446.5,852.0,30.0
60.0,15.0,10.0,108.75,95.75,204.5,391.75,90.0
60.0,15.0,20.0,95.25,87.25,182.5,413.75,90.0
60.0,15.0,30.0,130.5,78.75,209.25,394.5,80.0
60.0,15.0,40.0,125.5,70.25,195.75,408.0,80.0
80.0,20.0,10.0,178.5,56.5,235.0,543.0,60.0
80.0,20.0,20.0,211.0,74.0,285.0,514.0,80.0
80.0,20.0,30.0,253.5,108.5,362.0,462.0,90.0
80.0,20.0,40.0,245.0,95.0,340.0,484.0,90.0
100.0,25.0,10.0,152.0,146.75,298.75,732.5,50.0
100.0,25.0,20.0,177.25,181.5,358.75,700.0,60.0
100.0,25.0,30.0,155.25,215.25,370.5,702.0,70.0
100.0,25.0,40.0,133.25,193.25,326.5,746.0,60.0
120.0,30.0,10.0,85.0,211.5,296.5,911.0,50.0
120.0,30.0,20.0,116.5,254.5,371.0,874.0,60.0
120.0,30.0,30.0,93.0,231.0,324.0,921.0,60.0
120.0,30.0,40.0,69.5,208.5,278.0,967.0,60.0
140.0,35.0,10.0,16.75,64.25,81.0,892.0,60.0
140.0,35.0,20.0,78.5,32.25,110.75,881.5,60.0
140.0,35.0,30.0,63.5,0.25,63.75,928.5,60.0
140.0,35.0,40.0,48.5,-31.75,16.75,975.5,50.0
160.0,40.0,10.0,161.0,-2.5,158.5,923.5,60.0
160.0,40.0,20.0,219.0,-31.0,188.0,920.0,70.0
160.0,40.0,30.0,297.5,-59.5,238.0,890.0,70.0
160.0,40.0,40.0,290.0,28.0,318.0,868.0,70.0
180.0,45.0,10.0,-88.75,-213.0,-301.75,1080.25,50.0
180.0,45.0,20.0,-112.25,-241.5,-353.75,1132.25,50.0
180.0,45.0,30.0,-123.75,-270.0,-393.75,1172.25,50.0
180.0,45.0,40.0,-47.0,-298.5,-345.5,1146.5,60.0
200.0,50.0,10.0,7.5,-103.0,-95.5,1145.5,70.0
200.0,50.0,20.0,23.5,-138.5,-115.0,1165.0,70.0
200.0,50.0,30.0,-3.5,-174.0,-177.5,1227.5,70.0
200.0,50.0,40.0,-30.5,-90.5,-121.0,1203.5,70.0
40.0,10.0,10.0,-276.0,-198.5,-474.5,925.5,20.0
40.0,10.0,20.0,-262.0,-214.0,-476.0,934.0,20.0
40.0,10.0,30.0,-272.0,-232.5,-504.5,962.5,20.0
40.0,10.0,40.0,-282.0,-251.0,-533.0,991.0,20.0
60.0,15.0,10.0,59.0,264.25,323.25,365.25,80.0
60.0,15.0,20.0,44.5,259.25,303.75,392.25,80.0
60.0,15.0,30.0,22.5,300.0,322.5,381.0,80.0
60.0,15.0,40.0,0.5,300.0,300.5,403.0,70.0
80.0,20.0,10.0,57.5,88.0,145.5,546.5,70.0
80.0,20.0,20.0,82.0,114.0,196.0,527.0,70.0
80.0,20.0,30.0,67.0,100.5,167.5,555.5,70.0
80.0,20.0,40.0,52.0,87.0,139.0,584.0,70.0
100.0,25.0,10.0,290.25,174.25,464.5,644.25,70.0
100.0,25.0,20.0,271.75,159.75,431.5,689.75,70.0
100.0,25.0,30.0,253.25,132.75,386.0,735.25,60.0
100.0,25.0,40.0,234.75,105.75,340.5,780.75,60.0
120.0,30.0,10.0,214.5,116.5,331.0,855.5,60.0
120.0,30.0,20.0,202.5,96.5,299.0,902.5,60.0
120.0,30.0,30.0,175.5,76.5,252.0,949.5,60.0
120.0,30.0,40.0,148.5,56.5,205.0,996.5,60.0
140.0,35.0,10.0,43.0,-14.5,28.5,839.5,50.0
140.0,35.0,20.0,115.25,-46.5,68.75,827.25,60.0
140.0,35.0,30.0,96.75,-78.5,18.25,877.75,60.0
140.0,35.0,40.0,78.25,-110.5,-32.25,928.25,60.0
160.0,40.0,10.0,-112.5,-35.0,-147.5,1027.5,70.0
160.0,40.0,20.0,-141.0,-60.0,-201.0,1081.0,50.0
160.0,40.0,30.0,-169.5,-85.0,-254.5,1134.5,50.0
160.0,40.0,40.0,-192.0,-110.0,-302.0,1182.0,50.0
180.0,45.0,10.0,-186.0,-205.0,-391.0,1156.0,50.0
180.0,45.0,20.0,-214.5,-230.0,-444.5,1209.5,50.0
180.0,45.0,30.0,-243.0,-255.0,-498.0,1263.0,50.0
180.0,45.0,40.0,-271.5,-280.0,-551.5,1316.5,50.0
200.0,50.0,10.0,-42.5,-162.5,-205.0,1217.5,60.0
200.0,50.0,20.0,-62.5,-187.5,-250.0,1262.5,60.0
200.0,50.0,30.0,35.0,-95.0,-60.0,1127.5,70.0
200.0,50.0,40.0,20.0,-115.0,-95.0,1162.5,70.0
40.0,10.0,10.0,-260.0,-159.0,-419.0,851.0,30.0
40.0,10.0,20.0,-256.0,-191.0,-447.0,884.0,30.0
40.0,10.0,30.0,-276.0,-223.0,-499.0,936.0,30.0
40.0,10.0,40.0,-296.0,-255.0,-551.0,988.0,30.0
60.0,15.0,10.0,43.25,116.75,160.0,492.5,70.0
60.0,15.0,20.0,75.5,81.25,156.75,518.25,80.0
60.0,15.0,30.0,57.0,94.5,151.5,535.5,80.0
60.0,15.0,40.0,38.5,67.5,106.0,581.0,70.0
80.0,20.0,10.0,111.5,267.0,378.5,593.5,70.0
80.0,20.0,20.0,182.0,313.0,495.0,518.0,80.0
80.0,20.0,30.0,167.0,303.0,470.0,543.0,80.0
80.0,20.0,40.0,213.0,293.0,506.0,517.0,80.0
100.0,25.0,10.0,368.0,184.0,552.0,768.0,60.0
100.0,25.0,20.0,336.0,160.5,496.5,823.5,50.0
100.0,25.0,30.0,498.75,201.25,700.0,718.75,70.0
100.0,25.0,40.0,488.75,257.5,746.25,685.0,80.0
120.0,30.0,10.0,244.0,228.5,472.5,783.0,70.0
120.0,30.0,20.0,225.5,206.5,432.0,823.5,70.0
120.0,30.0,30.0,211.5,328.5,540.0,747.0,70.0
120.0,30.0,40.0,189.5,323.5,513.0,774.0,70.0
140.0,35.0,10.0,202.25,76.25,278.5,841.5,60.0
140.0,35.0,20.0,178.75,49.25,228.0,892.0,60.0
140.0,35.0,30.0,162.25,109.0,271.25,866.25,70.0
140.0,35.0,40.0,135.25,87.0,222.25,915.25,70.0
160.0,40.0,10.0,279.0,-59.0,220.0,932.0,70.0
160.0,40.0,20.0,264.0,-66.0,198.0,974.0,70.0
160.0,40.0,30.0,274.0,-5.5,268.5,929.5,80.0
160.0,40.0,40.0,252.0,78.0,330.0,900.0,90.0
180.0,45.0,10.0,218.25,-137.25,81.0,1012.5,70.0
180.0,45.0,20.0,191.25,-164.25,27.0,1066.5,70.0
180.0,45.0,30.0,164.25,-146.25,18.0,1120.5,70.0
180.0,45.0,40.0,137.25,-173.25,-36.0,1174.5,60.0
200.0,50.0,10.0,29.0,-265.5,-236.5,1174.0,70.0
200.0,50.0,20.0,5.5,-112.0,-106.5,1156.5,70.0
200.0,50.0,30.0,-18.0,-116.0,-134.0,1184.0,70.0
200.0,50.0,40.0,-41.5,-138.0,-179.5,1229.5,70.0
40.0,10.0,10.0,-228.5,-269.0,-497.5,914.0,30.0
40.0,10.0,20.0,-223.0,-253.5,-476.5,904.0,30.0
40.0,10.0,30.0,-241.5,-263.5,-505.0,932.5,20.0
40.0,10.0,40.0,-260.0,-273.5,-533.5,961.0,20.0
60.0,15.0,10.0,126.0,153.5,279.5,390.25,70.0
60.0,15.0,20.0,153.25,146.25,299.5,378.5,80.0
60.0,15.0,30.0,144.75,132.75,277.5,400.5,80.0
60.0,15.0,40.0,136.25,119.25,255.5,422.5,80.0
80.0,20.0,10.0,147.0,128.5,275.5,555.5,70.0
80.0,20.0,20.0,156.0,110.0,266.0,575.0,70.0
80.0,20.0,30.0,125.5,91.5,217.0,624.0,70.0
80.0,20.0,40.0,95.0,73.0,168.0,673.0,70.0
100.0,25.0,10.0,175.0,43.0,218.0,802.0,50.0
100.0,25.0,20.0,155.0,29.0,184.0,848.5,60.0
100.0,25.0,30.0,140.75,57.75,198.5,846.5,60.0
100.0,25.0,40.0,188.5,174.75,363.25,729.25,80.0
120.0,30.0,10.0,315.5,155.0,470.5,830.0,60.0
120.0,30.0,20.0,355.5,131.5,487.0,828.5,60.0
120.0,30.0,30.0,340.5,184.5,525.0,814.5,60.0
120.0,30.0,40.0,325.5,166.0,491.5,848.0,60.0
140.0,35.0,10.0,88.75,186.25,275.0,785.5,70.0
140.0,35.0,20.0,135.0,167.75,302.75,777.0,80.0
140.0,35.0,30.0,184.25,246.5,430.75,694.5,80.0
140.0,35.0,40.0,162.25,233.0,395.25,730.0,80.0
160.0,40.0,10.0,-48.5,-59.5,-108.0,978.0,60.0
160.0,40.0,20.0,107.0,-16.0,91.0,843.0,70.0
160.0,40.0,30.0,88.5,-43.0,45.5,888.5,70.0
160.0,40.0,40.0,70.0,-70.0,0.0,934.0,70.0
180.0,45.0,10.0,-92.5,-125.5,-218.0,1118.0,50.0
180.0,45.0,20.0,-117.5,-161.0,-278.5,1178.5,50.0
180.0,45.0,30.0,-123.75,28.5,-95.25,1065.0,60.0
180.0,45.0,40.0,-10.75,6.5,-4.25,1028.0,70.0
200.0,50.0,10.0,-144.5,4.0,-140.5,1168.0,60.0
200.0,50.0,20.0,-176.5,-19.5,-196.0,1223.5,60.0
200.0,50.0,30.0,-208.5,-43.0,-251.5,1279.0,60.0
200.0,50.0,40.0,-240.5,-66.5,-307.0,1334.5,60.0
40.0,10.0,10.0,-280.0,-271.0,-551.0,973.5,20.0
40.0,10.0,20.0,-298.5,-286.0,-584.5,1007.0,20.0
40.0,10.0,30.0,-281.5,-301.0,-582.5,1010.0,30.0
40.0,10.0,40.0,-295.0,-275.5,-570.5,1006.0,30.0
60.0,15.0,10.0,32.5,94.0,126.5,441.25,60.0
60.0,15.0,20.0,42.25,116.25,158.5,427.25,70.0
60.0,15.0,30.0,20.25,102.75,123.0,462.75,70.0
60.0,15.0,40.0,-1.75,89.25,87.5,498.25,70.0
80.0,20.0,10.0,101.0,115.5,216.5,608.5,50.0
80.0,20.0,20.0,69.0,80.0,149.0,676.0,50.0
80.0,20.0,30.0,37.0,44.5,81.5,743.5,50.0
80.0,20.0,40.0,66.0,74.0,140.0,710.0,60.0
100.0,25.0,10.0,21.5,93.75,115.25,791.0,60.0
100.0,25.0,20.0,110.0,68.75,178.75,767.5,60.0
100.0,25.0,30.0,95.0,43.75,138.75,807.5,50.0
100.0,25.0,40.0,80.0,102.5,182.5,790.0,60.0
120.0,30.0,10.0,147.0,60.5,207.5,806.5,60.0
120.0,30.0,20.0,120.0,37.0,157.0,857.0,60.0
120.0,30.0,30.0,93.0,13.5,106.5,907.5,60.0
120.0,30.0,40.0,66.0,-10.0,56.0,958.0,60.0
140.0,35.0,10.0,221.5,-5.75,215.75,801.0,70.0
140.0,35.0,20.0,191.0,47.5,238.5,806.25,70.0
140.0,35.0,30.0,171.0,24.0,195.0,849.75,70.0
140.0,35.0,40.0,140.5,0.5,141.0,903.75,70.0
160.0,40.0,10.0,17.5,-69.5,-52.0,972.0,60.0
160.0,40.0,20.0,2.0,-26.0,-24.0,976.0,60.0
160.0,40.0,30.0,67.0,-53.0,14.0,980.0,70.0
160.0,40.0,40.0,40.0,-80.0,-40.0,1034.0,70.0
180.0,45.0,10.0,-129.75,-77.0,-206.75,1118.0,50.0
180.0,45.0,20.0,-158.25,-86.5,-244.75,1178.5,50.0
180.0,45.0,30.0,-164.25,-111.75,-276.0,1232.25,50.0
180.0,45.0,40.0,-192.75,-143.75,-336.5,1292.75,50.0
200.0,50.0,10.0,141.5,88.0,229.5,1148.0,70.0
200.0,50.0,20.0,118.0,61.0,179.0,1198.5,70.0
200.0,50.0,30.0,94.5,34.0,128.5,1249.0,70.0
200.0,50.0,40.0,71.0,7.0,78.0,1299.5,70.0
40.0,10.0,10.0,-180.5,-244.5,-425.0,848.5,30.0
40.0,10.0,20.0,-204.0,-258.0,-462.0,885.5,30.0
40.0,10.0,30.0,-222.5,-271.5,-494.0,922.5,30.0
40.0,10.0,40.0,-246.0,-285.0,-531.0,959.5,30.0
60.0,15.0,10.0,224.75,114.25,339.0,388.5,90.0
60.0,15.0,20.0,214.75,109.25,324.0,403.5,90.0
60.0,15.0,30.0,204.75,104.25,309.0,418.5,90.0
60.0,15.0,40.0,194.75,99.25,294.0,433.5,80.0
80.0,20.0,10.0,211.5,113.5,325.0,493.0,70.0
80.0,20.0,20.0,193.0,95.0,288.0,530.0,70.0
80.0,20.0,30.0,174.5,76.5,251.0,567.0,70.0
80.0,20.0,40.0,156.0,58.0,214.0,604.0,70.0
100.0,25.0,10.0,220.75,187.5,408.25,644.25,70.0
100.0,25.0,20.0,190.25,172.5,362.75,689.75,60.0
100.0,25.0,30.0,224.0,157.5,381.5,684.75,70.0
100.0,25.0,40.0,202.0,142.5,344.5,721.75,70.0
120.0,30.0,10.0,186.0,264.0,450.0,840.0,60.0
120.0,30.0,20.0,170.0,300.5,470.5,836.0,60.0
120.0,30.0,30.0,210.0,282.0,492.0,834.0,60.0
120.0,30.0,40.0,186.5,263.5,450.0,876.0,60.0
140.0,35.0,10.0,-23.25,27.25,4.0,890.25,50.0
140.0,35.0,20.0,16.0,0.25,16.25,914.75,50.0
140.0,35.0,30.0,10.0,53.0,63.0,903.0,60.0
140.0,35.0,40.0,-13.5,34.5,21.0,945.0,60.0
160.0,40.0,10.0,-25.0,-56.0,-81.0,1036.0,50.0
160.0,40.0,20.0,42.0,-88.0,-46.0,1058.0,60.0
160.0,40.0,30.0,22.0,-120.0,-98.0,1110.0,50.0
160.0,40.0,40.0,2.0,-152.0,-150.0,1162.0,50.0
180.0,45.0,10.0,-137.5,-55.5,-193.0,1162.75,80.0
180.0,45.0,20.0,-162.5,-70.5,-233.0,1202.75,70.0
180.0,45.0,30.0,-187.5,-28.5,-216.0,1230.75,70.0
180.0,45.0,40.0,-212.5,-47.0,-259.5,1274.25,70.0
200.0,50.0,10.0,-28.5,-55.0,-83.5,1246.0,60.0
200.0,50.0,20.0,-32.0,37.5,5.5,1207.0,70.0
200.0,50.0,30.0,-60.5,22.5,-38.0,1250.5,70.0
200.0,50.0,40.0,-81.5,7.5,-74.0,1286.5,70.0
40.0,10.0,10.0,-306.0,-285.0,-591.0,992.5,20.0
40.0,10.0,20.0,-316.0,-303.5,-619.5,1021.0,20.0
40.0,10.0,30.0,-326.0,-322.0,-648.0,1049.5,20.0
40.0,10.0,40.0,-336.0,-340.5,-676.5,1078.0,20.0
60.0,15.0,10.0,169.75,113.25,283.0,349.25,80.0
60.0,15.0,20.0,152.75,87.75,240.5,391.75,80.0
60.0,15.0,30.0,184.5,111.0,295.5,365.25,90.0
60.0,15.0,40.0,176.0,94.0,270.0,390.75,80.0
80.0,20.0,10.0,175.0,120.5,295.5,521.5,70.0
80.0,20.0,20.0,159.0,97.0,256.0,561.0,70.0
80.0,20.0,30.0,133.5,129.5,263.0,564.0,80.0
80.0,20.0,40.0,176.0,107.0,283.0,563.0,80.0
100.0,25.0,10.0,175.25,221.75,397.0,723.0,70.0
100.0,25.0,20.0,146.75,194.75,341.5,778.5,60.0
100.0,25.0,30.0,184.5,167.75,352.25,780.25,60.0
100.0,25.0,40.0,257.25,217.25,474.5,713.0,70.0
120.0,30.0,10.0,236.5,209.5,446.0,685.0,80.0
120.0,30.0,20.0,216.5,192.5,409.0,722.0,80.0
120.0,30.0,30.0,196.5,175.5,372.0,759.0,70.0
120.0,30.0,40.0,176.5,158.5,335.0,796.0,70.0
140.0,35.0,10.0,57.0,-11.25,45.75,866.0,70.0
140.0,35.0,20.0,33.5,-38.25,-4.75,916.5,70.0
140.0,35.0,30.0,10.0,-65.25,-55.25,967.0,70.0
140.0,35.0,40.0,-13.5,-0.5,-14.0,953.75,70.0
160.0,40.0,10.0,-62.5,-136.0,-198.5,1018.5,70.0
160.0,40.0,20.0,-91.0,-168.0,-259.0,1079.0,60.0
160.0,40.0,30.0,-119.5,-200.0,-319.5,1139.5,60.0
160.0,40.0,40.0,-148.0,-232.0,-380.0,1200.0,50.0
180.0,45.0,10.0,120.5,-39.75,80.75,1091.5,80.0
180.0,45.0,20.0,97.0,-68.25,28.75,1143.5,70.0
180.0,45.0,30.0,73.5,-96.75,-23.25,1195.5,70.0
180.0,45.0,40.0,50.0,-125.25,-75.25,1247.5,70.0
200.0,50.0,10.0,-26.0,-137.5,-163.5,1191.0,70.0
200.0,50.0,20.0,63.0,-162.5,-99.5,1167.0,70.0
200.0,50.0,30.0,44.5,-187.5,-143.0,1210.5,60.0
200.0,50.0,40.0,26.0,-212.5,-186.5,1254.0,60.0
40.0,10.0,10.0,-226.5,-200.5,-427.0,837.0,40.0
40.0,10.0,20.0,-235.0,-205.5,-440.5,850.5,40.0
40.0,10.0,30.0,-243.5,-210.5,-454.0,864.0,40.0
40.0,10.0,40.0,-202.5,-175.0,-377.5,798.5,50.0
60.0,15.0,10.0,184.25,189.5,373.75,294.5,90.0
60.0,15.0,20.0,175.75,221.25,397.0,278.75,90.0
60.0,15.0,30.0,167.25,221.25,388.5,287.25,90.0
60.0,15.0,40.0,158.75,221.25,380.0,295.75,90.0
80.0,20.0,10.0,128.0,229.0,357.0,447.0,70.0
80.0,20.0,20.0,106.0,212.0,318.0,486.0,70.0
80.0,20.0,30.0,84.0,195.0,279.0,525.0,70.0
80.0,20.0,40.0,62.0,243.0,305.0,512.0,80.0
100.0,25.0,10.0,256.25,381.5,637.75,616.0,70.0
100.0,25.0,20.0,241.25,363.0,604.25,649.5,70.0
100.0,25.0,30.0,292.5,344.5,637.0,630.5,70.0
100.0,25.0,40.0,281.0,326.0,607.0,660.5,70.0
120.0,30.0,10.0,294.5,311.5,606.0,622.5,60.0
120.0,30.0,20.0,284.5,293.0,577.5,651.0,60.0
120.0,30.0,30.0,351.0,274.5,625.5,619.5,60.0
120.0,30.0,40.0,346.0,256.0,602.0,643.0,60.0
140.0,35.0,10.0,8.0,1.0,9.0,736.5,60.0
140.0,35.0,20.0,-22.5,-22.5,-45.0,790.5,60.0
140.0,35.0,30.0,-53.0,40.75,-12.25,777.0,70.0
140.0,35.0,40.0,-83.5,22.25,-61.25,826.0,60.0
160.0,40.0,10.0,-8.0,-109.0,-117.0,781.0,60.0
160.0,40.0,20.0,-30.0,-136.0,-166.0,830.0,60.0
160.0,40.0,30.0,-52.0,-163.0,-215.0,879.0,60.0
160.0,40.0,40.0,-74.0,-190.0,-264.0,928.0,60.0
180.0,45.0,10.0,-93.25,-174.75,-268.0,1057.75,50.0
180.0,45.0,20.0,-116.75,-165.5,-282.25,1072.0,50.0
180.0,45.0,30.0,-140.25,-201.0,-341.25,1131.0,50.0
180.0,45.0,40.0,-163.75,-236.5,-400.25,1190.0,50.0
200.0,50.0,10.0,-162.0,-166.0,-328.0,1228.0,50.0
200.0,50.0,20.0,-168.5,-194.5,-363.0,1263.0,50.0
200.0,50.0,30.0,-204.0,-198.0,-402.0,1327.0,60.0
200.0,50.0,40.0,-239.5,-226.5,-466.0,1391.0,50.0
40.0,10.0,10.0,-380.5,-212.5,-593.0,1054.0,20.0
40.0,10.0,20.0,-389.0,-233.0,-622.0,1088.0,20.0
40.0,10.0,30.0,-402.5,-255.0,-657.5,1123.5,20.0
40.0,10.0,40.0,-416.0,-277.0,-693.0,1159.0,20.0
60.0,15.0,10.0,181.75,245.5,427.25,389.5,90.0
60.0,15.0,20.0,206.25,240.5,446.75,380.5,90.0
60.0,15.0,30.0,192.75,235.5,428.25,399.0,90.0
60.0,15.0,40.0,179.25,230.5,409.75,417.5,90.0
80.0,20.0,10.0,98.0,240.5,338.5,534.5,70.0
80.0,20.0,20.0,76.0,223.0,299.0,574.0,70.0
80.0,20.0,30.0,54.0,252.0,306.0,577.0,70.0
80.0,20.0,40.0,93.0,295.0,388.0,524.0,80.0
100.0,25.0,10.0,243.75,312.5,556.25,586.25,80.0
100.0,25.0,20.0,228.75,302.5,531.25,611.25,80.0
100.0,25.0,30.0,213.75,292.5,506.25,636.25,80.0
100.0,25.0,40.0,198.75,282.5,481.25,661.25,80.0
120.0,30.0,10.0,591.5,413.0,1004.5,723.5,60.0
120.0,30.0,20.0,683.0,391.0,1074.0,685.5,70.0
120.0,30.0,30.0,664.5,369.0,1033.5,726.0,70.0
120.0,30.0,40.0,646.0,347.0,993.0,766.5,70.0
140.0,35.0,10.0,156.75,256.25,413.0,736.75,60.0
140.0,35.0,20.0,126.25,237.75,364.0,785.75,60.0
140.0,35.0,30.0,95.75,219.25,315.0,834.75,60.0
140.0,35.0,40.0,65.25,200.75,266.0,883.75,60.0
160.0,40.0,10.0,-35.0,75.5,40.5,803.5,60.0
160.0,40.0,20.0,-62.0,57.0,-5.0,849.0,60.0
160.0,40.0,30.0,-89.0,38.5,-50.5,894.5,60.0
160.0,40.0,40.0,-116.0,20.0,-96.0,940.0,60.0
180.0,45.0,10.0,-118.5,83.25,-35.25,1038.75,70.0
180.0,45.0,20.0,-44.75,56.25,11.5,1014.5,70.0
180.0,45.0,30.0,-68.25,29.25,-39.0,1065.0,70.0
180.0,45.0,40.0,-91.75,2.25,-89.5,1115.5,70.0
200.0,50.0,10.0,-67.5,-42.0,-109.5,1094.5,60.0
200.0,50.0,20.0,-87.5,-69.0,-156.5,1141.5,60.0
200.0,50.0,30.0,-107.5,-96.0,-203.5,1188.5,60.0
200.0,50.0,40.0,-127.5,-123.0,-250.5,1235.5,60.0
40.0,10.0,10.0,-201.0,-258.0,-459.0,910.0,30.0
40.0,10.0,20.0,-216.0,-288.5,-504.5,955.5,30.0
40.0,10.0,30.0,-231.0,-319.0,-550.0,1001.0,20.0
40.0,10.0,40.0,-246.0,-300.0,-546.0,1004.0,30.0
60.0,15.0,10.0,157.75,102.75,260.5,371.75,80.0
60.0,15.0,20.0,140.75,87.75,228.5,403.75,80.0
60.0,15.0,30.0,123.75,72.75,196.5,435.75,80.0
60.0,15.0,40.0,106.75,57.75,164.5,467.75,70.0
80.0,20.0,10.0,180.0,130.0,310.0,522.0,60.0
80.0,20.0,20.0,153.0,108.0,261.0,571.0,60.0
80.0,20.0,30.0,126.0,86.0,212.0,620.0,60.0
80.0,20.0,40.0,160.0,64.0,224.0,618.0,70.0
100.0,25.0,10.0,40.5,121.5,162.0,769.25,50.0
100.0,25.0,20.0,8.5,93.0,101.5,829.75,50.0
100.0,25.0,30.0,-23.5,64.5,41.0,890.25,50.0
100.0,25.0,40.0,-55.5,36.0,-19.5,950.75,50.0
120.0,30.0,10.0,118.0,279.0,397.0,870.5,60.0
120.0,30.0,20.0,90.5,250.5,341.0,926.5,60.0
120.0,30.0,30.0,58.5,222.0,280.5,987.0,60.0
120.0,30.0,40.0,26.5,193.5,220.0,1047.5,50.0
140.0,35.0,10.0,-51.25,216.25,165.0,843.0,70.0
