TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %,Median_CSV
140.0,35.0,20.0,-391.9,40.5,-351.4,1236.7,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP140_DTS20.csv
140.0,35.0,30.0,-424.9,16.0,-408.9,1294.2,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP140_DTS30.csv
140.0,35.0,40.0,-456.3,-7.2,-463.5,1348.8,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP140_DTS40.csv
40.0,10.0,10.0,-0.5,-59.2,-59.7,285.2,40.0,
40.0,10.0,20.0,-39.1,-72.2,-111.3,338.4,30.0,
40.0,10.0,30.0,-53.5,-91.5,-145.0,375.3,40.0,
40.0,10.0,40.0,-56.8,-109.3,-166.1,399.6,40.0,
60.0,15.0,10.0,-38.3,49.5,11.2,389.7,40.0,
60.0,15.0,20.0,-33.6,49.4,15.8,401.1,40.0,
60.0,15.0,30.0,-47.3,29.2,-18.1,439.5,40.0,
60.0,15.0,40.0,-64.5,9.8,-54.7,476.1,40.0,
80.0,20.0,10.0,-47.3,7.1,-40.2,556.0,40.0,
80.0,20.0,20.0,-65.9,14.5,-51.4,574.0,30.0,
80.0,20.0,30.0,-84.5,-6.3,-90.8,613.4,30.0,
80.0,20.0,40.0,-102.5,-26.5,-129.0,651.6,30.0,
100.0,25.0,10.0,-52.7,-85.4,-138.1,718.5,20.0,
100.0,25.0,20.0,-78.6,-113.3,-191.9,779.9,10.0,
100.0,25.0,30.0,-97.1,-93.0,-190.1,801.1,20.0,
100.0,25.0,40.0,-123.0,-74.1,-197.1,816.7,30.0,
120.0,30.0,10.0,-21.0,-73.6,-94.6,836.9,30.0,
120.0,30.0,20.0,-44.1,-97.6,-141.7,884.0,30.0,
120.0,30.0,30.0,-68.0,-122.4,-190.4,932.7,20.0,
120.0,30.0,40.0,-91.8,-147.2,-239.0,981.3,20.0,
140.0,35.0,10.0,-42.0,-50.6,-92.6,1017.0,50.0,
140.0,35.0,20.0,-63.0,-72.8,-135.8,1070.8,50.0,
140.0,35.0,30.0,-85.4,-96.2,-181.6,1116.6,50.0,
140.0,35.0,40.0,-106.4,-118.6,-225.0,1160.0,50.0,
40.0,10.0,10.0,0.9,-8.2,-7.3,261.2,50.0,
40.0,10.0,20.0,4.8,24.3,29.1,256.4,60.0,
40.0,10.0,30.0,-6.7,18.1,11.4,274.1,40.0,
40.0,10.0,40.0,-18.1,6.4,-11.7,297.2,40.0,
60.0,15.0,10.0,44.5,-42.4,2.1,431.5,60.0,
60.0,15.0,20.0,42.0,-64.8,-22.8,466.0,50.0,
60.0,15.0,30.0,16.3,-88.2,-71.9,519.6,40.0,
60.0,15.0,40.0,-8.2,-110.6,-118.8,566.5,30.0,
80.0,20.0,10.0,23.2,8.9,32.1,535.3,50.0,
80.0,20.0,20.0,2.5,-9.7,-7.2,580.6,30.0,
80.0,20.0,30.0,-18.3,-28.3,-46.6,620.0,30.0,
80.0,20.0,40.0,-38.5,-46.3,-84.8,658.2,30.0,
100.0,25.0,10.0,-20.1,56.1,36.0,640.5,50.0,
100.0,25.0,20.0,-38.7,35.4,-3.3,679.8,40.0,
100.0,25.0,30.0,-57.3,14.6,-42.7,726.8,40.0,
100.0,25.0,40.0,-75.9,-6.1,-82.0,766.1,40.0,
120.0,30.0,10.0,-45.6,129.6,84.0,743.8,70.0,
120.0,30.0,20.0,-65.7,109.5,43.8,802.2,60.0,
120.0,30.0,30.0,-42.7,88.7,46.0,809.9,50.0,
120.0,30.0,40.0,-58.2,68.0,9.8,846.1,50.0,
140.0,35.0,10.0,-258.5,42.8,-215.7,1091.5,40.0,
140.0,35.0,20.0,-283.7,17.6,-266.1,1152.5,40.0,
140.0,35.0,30.0,-310.3,-9.0,-319.3,1205.7,40.0,
140.0,35.0,40.0,-335.7,-34.4,-370.1,1256.5,40.0,
40.0,10.0,10.0,5.7,-21.4,-15.7,270.7,50.0,
40.0,10.0,20.0,-0.8,-24.6,-25.4,289.4,40.0,
40.0,10.0,30.0,-22.9,-19.9,-42.8,313.9,30.0,
40.0,10.0,40.0,-45.7,-34.4,-80.1,351.2,30.0,
60.0,15.0,10.0,33.1,-7.9,25.2,406.6,60.0,
60.0,15.0,20.0,8.5,-28.1,-19.6,455.9,40.0,
60.0,15.0,30.0,-17.0,-49.4,-66.4,511.7,30.0,
60.0,15.0,40.0,-40.3,-42.4,-82.7,532.7,30.0,
80.0,20.0,10.0,-15.4,58.9,43.5,514.5,40.0,
80.0,20.0,20.0,-17.3,77.2,59.9,533.5,40.0,
80.0,20.0,30.0,-43.4,59.5,16.1,577.3,40.0,
80.0,20.0,40.0,-68.8,42.3,-26.5,619.9,40.0,
100.0,25.0,10.0,-29.0,-10.9,-39.9,666.5,50.0,
100.0,25.0,20.0,-36.9,-36.8,-73.7,710.3,40.0,
100.0,25.0,30.0,-29.6,-62.9,-92.5,746.9,40.0,
100.0,25.0,40.0,-45.1,-86.6,-131.7,786.1,30.0,
120.0,30.0,10.0,-35.0,-71.8,-106.8,912.0,30.0,
120.0,30.0,20.0,-53.0,-97.0,-150.0,955.2,30.0,
120.0,30.0,30.0,-62.5,-123.1,-185.6,990.8,30.0,
120.0,30.0,40.0,-81.1,-149.0,-230.1,1035.3,30.0,
140.0,35.0,10.0,-241.6,-241.1,-482.7,1284.9,20.0,
140.0,35.0,20.0,-228.7,-262.1,-490.8,1309.8,30.0,
140.0,35.0,30.0,-255.3,-284.5,-539.8,1358.8,30.0,
140.0,35.0,40.0,-280.7,-305.5,-586.2,1405.2,30.0,
40.0,10.0,10.0,35.1,37.4,72.5,230.4,70.0,
40.0,10.0,20.0,20.5,42.2,62.7,247.3,60.0,
40.0,10.0,30.0,-0.6,18.1,17.5,295.5,50.0,
40.0,10.0,40.0,-24.0,5.4,-18.6,334.6,40.0,
60.0,15.0,10.0,-12.0,8.0,-4.0,396.1,50.0,
60.0,15.0,20.0,-37.4,-21.8,-59.2,451.3,50.0,
60.0,15.0,30.0,-35.9,-22.8,-58.7,466.8,50.0,
60.0,15.0,40.0,-53.8,-51.3,-105.1,517.7,30.0,
80.0,20.0,10.0,-43.6,-4.7,-48.3,547.9,30.0,
80.0,20.0,20.0,-65.3,-2.5,-67.8,574.2,30.0,
80.0,20.0,30.0,-87.0,-28.6,-115.6,622.0,30.0,
80.0,20.0,40.0,-110.4,7.3,-103.1,639.7,40.0,
100.0,25.0,10.0,84.8,-62.1,22.7,677.0,50.0,
100.0,25.0,20.0,64.1,-86.9,-22.8,730.1,30.0,
100.0,25.0,30.0,50.9,-111.7,-60.8,775.7,30.0,
100.0,25.0,40.0,30.2,-137.3,-107.1,822.0,30.0,
120.0,30.0,10.0,62.7,-34.1,28.6,825.1,40.0,
120.0,30.0,20.0,44.7,-46.0,-1.3,855.0,40.0,
120.0,30.0,30.0,26.1,-67.7,-41.6,895.3,40.0,
120.0,30.0,40.0,7.5,-89.4,-81.9,944.7,40.0,
140.0,35.0,10.0,50.8,-256.5,-205.7,1247.8,50.0,
140.0,35.0,20.0,27.7,-277.5,-249.8,1291.9,50.0,
140.0,35.0,30.0,51.7,-299.9,-248.2,1305.0,60.0,
140.0,35.0,40.0,33.7,-320.9,-287.2,1344.0,40.0,
40.0,10.0,10.0,-19.1,-24.5,-43.6,292.6,40.0,
40.0,10.0,20.0,-41.9,-29.9,-71.8,328.5,50.0,
40.0,10.0,30.0,-64.9,-29.2,-94.1,353.8,50.0,
40.0,10.0,40.0,-87.7,-46.8,-134.5,394.2,30.0,
60.0,15.0,10.0,22.2,-10.5,11.7,419.1,50.0,
60.0,15.0,20.0,-3.2,-23.6,-26.8,466.6,50.0,
60.0,15.0,30.0,-29.8,-44.9,-74.7,514.5,40.0,
60.0,15.0,40.0,-55.2,-56.1,-111.3,560.1,30.0,
80.0,20.0,10.0,22.2,45.6,67.8,544.1,60.0,
80.0,20.0,20.0,0.5,14.5,15.0,602.9,60.0,
80.0,20.0,30.0,-21.2,-16.9,-38.1,656.0,50.0,
80.0,20.0,40.0,-42.2,-47.5,-89.7,707.6,40.0,
100.0,25.0,10.0,-73.7,56.9,-16.8,760.8,40.0,
100.0,25.0,20.0,-95.4,25.8,-69.6,818.1,30.0,
100.0,25.0,30.0,-117.1,-5.6,-122.7,869.6,30.0,
100.0,25.0,40.0,-138.8,-36.7,-175.5,922.4,30.0,
120.0,30.0,10.0,-63.3,30.1,-33.2,1011.2,50.0,
120.0,30.0,20.0,-50.0,9.1,-40.9,1036.1,50.0,
120.0,30.0,30.0,-70.8,-12.6,-83.4,1078.6,50.0,
120.0,30.0,40.0,-91.5,-34.3,-125.8,1121.0,50.0,
140.0,35.0,10.0,-233.8,-342.7,-576.5,1683.5,40.0,
140.0,35.0,20.0,-180.7,-319.2,-499.9,1645.9,50.0,
140.0,35.0,30.0,-205.2,-295.2,-500.4,1657.9,50.0,
140.0,35.0,40.0,-228.4,-313.2,-541.6,1699.1,40.0,
40.0,10.0,10.0,24.9,-45.8,-20.9,299.7,70.0,
40.0,10.0,20.0,-2.2,-50.2,-52.4,340.4,30.0,
40.0,10.0,30.0,-2.1,-67.1,-69.2,373.4,40.0,
40.0,10.0,40.0,-27.0,-56.7,-83.7,391.1,50.0,
60.0,15.0,10.0,35.1,-16.4,18.7,397.9,40.0,
60.0,15.0,20.0,17.9,-39.1,-21.2,442.3,40.0,
60.0,15.0,30.0,8.8,-69.9,-61.1,491.2,30.0,
60.0,15.0,40.0,18.8,-58.9,-40.1,495.0,50.0,
80.0,20.0,10.0,67.5,-33.5,34.0,494.5,60.0,
80.0,20.0,20.0,46.5,-49.0,-2.5,531.0,50.0,
80.0,20.0,30.0,23.5,-64.7,-41.2,569.7,50.0,
80.0,20.0,40.0,1.1,-81.9,-80.8,609.3,50.0,
100.0,25.0,10.0,159.5,-19.7,139.8,648.2,60.0,
100.0,25.0,20.0,144.0,-32.8,111.2,692.0,60.0,
100.0,25.0,30.0,128.5,-46.0,82.5,728.3,60.0,
100.0,25.0,40.0,113.0,-66.7,46.3,764.5,50.0,
120.0,30.0,10.0,22.6,-24.6,-2.0,824.3,40.0,
120.0,30.0,20.0,-0.5,-33.5,-34.0,862.4,30.0,
120.0,30.0,30.0,-24.4,-52.1,-76.5,901.9,30.0,
120.0,30.0,40.0,-48.2,-70.7,-118.9,944.3,30.0,
140.0,35.0,10.0,-347.5,-133.3,-480.8,1293.3,30.0,
140.0,35.0,20.0,-373.6,-158.5,-532.1,1344.6,30.0,
140.0,35.0,30.0,-401.3,-136.6,-537.9,1371.6,30.0,
140.0,35.0,40.0,-427.5,-156.8,-584.3,1418.0,30.0,
40.0,10.0,10.0,4.8,-77.1,-72.3,314.3,20.0,
40.0,10.0,20.0,14.8,-78.8,-64.0,325.4,20.0,
40.0,10.0,30.0,-5.1,-100.9,-106.0,367.4,20.0,
40.0,10.0,40.0,-24.8,-122.8,-147.6,409.0,20.0,
60.0,15.0,10.0,7.2,0.4,7.6,423.7,40.0,
60.0,15.0,20.0,-2.3,-7.9,-10.2,465.5,50.0,
60.0,15.0,30.0,-31.0,-32.1,-63.1,522.9,50.0,
60.0,15.0,40.0,-23.6,-27.3,-50.9,526.7,30.0,
80.0,20.0,10.0,-2.0,27.6,25.6,518.3,40.0,
80.0,20.0,20.0,-25.8,3.8,-22.0,571.9,40.0,
80.0,20.0,30.0,-43.7,-20.3,-64.0,625.9,40.0,
80.0,20.0,40.0,-66.9,-45.7,-112.6,674.5,40.0,
100.0,25.0,10.0,-75.4,81.5,6.1,630.7,30.0,
100.0,25.0,20.0,-64.8,66.0,1.2,644.2,40.0,
100.0,25.0,30.0,-88.7,58.1,-30.6,691.2,40.0,
100.0,25.0,40.0,-112.5,50.2,-62.3,730.5,40.0,
120.0,30.0,10.0,40.6,43.7,84.3,827.3,60.0,
120.0,30.0,20.0,22.6,18.5,41.1,868.9,50.0,
120.0,30.0,30.0,4.0,-7.6,-3.6,913.6,50.0,
120.0,30.0,40.0,-14.6,-33.5,-48.1,958.1,50.0,
140.0,35.0,10.0,-228.8,-186.6,-415.4,1286.6,40.0,
140.0,35.0,20.0,-251.9,-207.6,-459.5,1341.3,40.0,
140.0,35.0,30.0,-276.4,-230.0,-506.4,1388.2,30.0,
140.0,35.0,40.0,-299.6,-251.0,-550.6,1432.4,30.0,
40.0,10.0,10.0,-4.0,-50.4,-54.4,267.5,20.0,
40.0,10.0,20.0,-26.8,-64.0,-90.8,309.9,10.0,
40.0,10.0,30.0,-49.8,-55.9,-105.7,334.9,20.0,
40.0,10.0,40.0,-48.0,-67.4,-115.4,347.8,30.0,
60.0,15.0,10.0,-49.7,12.6,-37.1,409.0,40.0,
60.0,15.0,20.0,-48.4,-2.9,-51.3,432.4,40.0,
60.0,15.0,30.0,-67.6,4.9,-62.7,453.0,40.0,
60.0,15.0,40.0,-54.5,-11.5,-66.0,466.0,50.0,
80.0,20.0,10.0,93.4,-42.8,50.6,488.5,40.0,
80.0,20.0,20.0,73.7,-60.4,13.3,537.8,40.0,
80.0,20.0,30.0,53.8,-72.1,-18.3,575.4,40.0,
80.0,20.0,40.0,34.4,-89.3,-54.9,612.0,40.0,
100.0,25.0,10.0,13.9,-66.0,-52.1,675.9,30.0,
100.0,25.0,20.0,-6.3,-47.1,-53.4,685.8,30.0,
100.0,25.0,30.0,-34.6,-62.6,-97.2,729.6,30.0,
100.0,25.0,40.0,-62.6,-78.1,-140.7,773.1,30.0,
120.0,30.0,10.0,30.0,-190.6,-160.6,926.6,40.0,
120.0,30.0,20.0,3.9,-226.0,-222.1,986.9,40.0,
120.0,30.0,30.0,-20.4,-218.9,-239.3,1016.7,40.0,
120.0,30.0,40.0,-49.4,-250.0,-299.4,1076.8,40.0,
140.0,35.0,10.0,-215.5,-437.4,-652.9,1639.8,20.0,
140.0,35.0,20.0,-238.6,-419.0,-657.6,1666.6,20.0,
140.0,35.0,30.0,-263.1,-448.8,-711.9,1720.9,20.0,
140.0,35.0,40.0,-286.3,-477.2,-763.5,1772.5,20.0,
40.0,10.0,10.0,-8.9,50.0,41.1,213.8,50.0,
40.0,10.0,20.0,-27.6,53.0,25.4,232.7,50.0,
40.0,10.0,30.0,-25.1,63.0,37.9,238.6,50.0,
40.0,10.0,40.0,-40.7,54.7,14.0,262.5,30.0,
60.0,15.0,10.0,38.9,32.0,70.9,381.5,50.0,
60.0,15.0,20.0,50.3,14.1,64.4,409.0,50.0,
60.0,15.0,30.0,34.3,-4.8,29.5,448.4,50.0,
60.0,15.0,40.0,15.4,-27.2,-11.8,489.7,50.0,
80.0,20.0,10.0,57.9,-89.4,-31.5,520.0,40.0,
80.0,20.0,20.0,44.4,-118.5,-74.1,562.6,40.0,
80.0,20.0,30.0,26.7,-117.6,-90.9,586.2,30.0,
80.0,20.0,40.0,9.5,-105.5,-96.0,604.2,30.0,
100.0,25.0,10.0,125.3,10.2,135.5,646.9,80.0,
100.0,25.0,20.0,138.6,-16.4,122.2,676.4,80.0,
100.0,25.0,30.0,123.1,-49.1,74.0,724.6,80.0,
100.0,25.0,40.0,107.6,-81.3,26.3,772.3,50.0,
120.0,30.0,10.0,-2.9,5.5,2.6,768.8,50.0,
120.0,30.0,20.0,-28.1,-9.7,-37.8,831.8,40.0,
120.0,30.0,30.0,-54.2,-32.7,-86.9,880.9,40.0,
120.0,30.0,40.0,-80.1,-55.5,-135.6,929.6,40.0,
140.0,35.0,10.0,-191.7,-42.0,-233.7,1146.6,30.0,
140.0,35.0,20.0,-209.3,-27.0,-236.3,1181.9,30.0,
140.0,35.0,30.0,-239.1,-40.9,-280.0,1236.2,30.0,
140.0,35.0,40.0,-267.5,-42.9,-310.4,1282.1,40.0,
40.0,10.0,10.0,-1.5,17.7,16.2,268.5,50.0,
40.0,10.0,20.0,-32.6,3.1,-29.5,320.2,40.0,
40.0,10.0,30.0,-64.0,-14.6,-78.6,372.3,30.0,
40.0,10.0,40.0,-95.2,-32.2,-127.4,421.1,20.0,
60.0,15.0,10.0,-80.0,11.3,-68.7,475.4,40.0,
60.0,15.0,20.0,-113.6,-9.6,-123.2,538.9,20.0,
60.0,15.0,30.0,-148.7,-36.2,-184.9,600.6,20.0,
60.0,15.0,40.0,-182.3,-65.5,-247.8,663.5,20.0,
80.0,20.0,10.0,25.1,69.7,94.8,506.1,70.0,
80.0,20.0,20.0,7.5,48.0,55.5,557.4,50.0,
80.0,20.0,30.0,-4.4,26.3,21.9,602.8,50.0,
80.0,20.0,40.0,-23.8,17.3,-6.5,643.2,40.0,
100.0,25.0,10.0,74.9,-28.8,46.1,649.9,60.0,
100.0,25.0,20.0,52.1,-50.5,1.6,694.4,50.0,
100.0,25.0,30.0,29.1,-72.2,-43.1,739.1,50.0,
100.0,25.0,40.0,6.3,-86.3,-80.0,783.6,50.0,
120.0,30.0,10.0,35.7,59.8,95.5,822.4,60.0,
120.0,30.0,20.0,30.8,41.8,72.6,872.6,60.0,
120.0,30.0,30.0,9.6,32.3,41.9,912.4,50.0,
120.0,30.0,40.0,-14.2,13.7,-0.5,954.8,50.0,
140.0,35.0,10.0,-149.2,130.0,-19.2,1158.9,60.0,
140.0,35.0,20.0,-172.3,112.0,-60.3,1200.0,60.0,
140.0,35.0,30.0,-196.8,92.8,-104.0,1243.7,60.0,
140.0,35.0,40.0,-220.0,74.8,-145.2,1284.9,60.0,
40.0,10.0,10.0,-21.9,-25.3,-47.2,274.2,50.0,
40.0,10.0,20.0,-41.6,-48.1,-89.7,319.7,40.0,
40.0,10.0,30.0,-61.5,-68.1,-129.6,362.6,40.0,
40.0,10.0,40.0,-55.7,-36.2,-91.9,336.9,40.0,
60.0,15.0,10.0,19.7,-21.7,-2.0,397.8,50.0,
60.0,15.0,20.0,10.0,-35.7,-25.7,435.0,40.0,
60.0,15.0,30.0,-4.9,-59.1,-64.0,473.3,30.0,
60.0,15.0,40.0,-21.7,-81.5,-103.2,517.0,30.0,
80.0,20.0,10.0,76.3,50.8,127.1,440.6,70.0,
80.0,20.0,20.0,61.7,33.2,94.9,472.8,60.0,
80.0,20.0,30.0,47.1,17.3,64.4,509.3,60.0,
80.0,20.0,40.0,34.7,6.1,40.8,538.9,60.0,
100.0,25.0,10.0,39.4,27.6,67.0,603.4,30.0,
100.0,25.0,20.0,18.7,-0.4,18.3,652.1,30.0,
100.0,25.0,30.0,5.5,-28.7,-23.2,701.2,20.0,
100.0,25.0,40.0,-15.2,-56.7,-71.9,757.5,20.0,
120.0,30.0,10.0,85.6,-77.5,8.1,886.5,40.0,
120.0,30.0,20.0,57.4,-103.6,-46.2,940.8,40.0,
120.0,30.0,30.0,28.2,-121.5,-93.3,997.0,40.0,
120.0,30.0,40.0,-0.8,-148.4,-149.2,1052.9,40.0,
140.0,35.0,10.0,-145.0,-115.3,-260.3,1233.8,40.0,
140.0,35.0,20.0,-173.2,-141.4,-314.6,1288.1,40.0,
140.0,35.0,30.0,-203.0,-169.1,-372.1,1345.6,40.0,
140.0,35.0,40.0,-231.4,-195.3,-426.7,1400.2,40.0,
40.0,10.0,10.0,13.8,-32.8,-19.0,261.8,50.0,
40.0,10.0,20.0,-8.6,-53.6,-62.2,305.0,50.0,
40.0,10.0,30.0,-9.3,-74.8,-84.1,333.1,30.0,
40.0,10.0,40.0,-2.7,-64.6,-67.3,328.8,30.0,
60.0,15.0,10.0,94.0,-50.9,43.1,369.4,60.0,
60.0,15.0,20.0,72.4,-70.3,2.1,410.4,40.0,
60.0,15.0,30.0,50.1,-90.5,-40.4,457.4,30.0,
60.0,15.0,40.0,28.5,-109.9,-81.4,498.4,30.0,
80.0,20.0,10.0,-47.9,-59.0,-106.9,605.5,20.0,
80.0,20.0,20.0,-55.0,-83.9,-138.9,643.7,30.0,
80.0,20.0,30.0,-51.9,-113.1,-165.0,682.6,40.0,
80.0,20.0,40.0,-77.3,-141.5,-218.8,736.4,30.0,
100.0,25.0,10.0,-62.6,29.1,-33.5,727.3,20.0,
100.0,25.0,20.0,-90.5,3.2,-87.3,788.7,20.0,
100.0,25.0,30.0,-77.8,16.4,-61.4,780.0,30.0,
100.0,25.0,40.0,-102.6,-4.3,-106.9,825.5,30.0,
120.0,30.0,10.0,-115.0,16.3,-98.7,945.9,60.0,
120.0,30.0,20.0,-140.2,-1.7,-141.9,995.2,60.0,
120.0,30.0,30.0,-166.3,-20.3,-186.6,1036.8,60.0,
120.0,30.0,40.0,-192.2,-38.9,-231.1,1078.2,60.0,
140.0,35.0,10.0,-295.3,-362.6,-657.9,1676.0,20.0,
140.0,35.0,20.0,-271.8,-388.7,-660.5,1706.1,30.0,
140.0,35.0,30.0,-296.3,-363.6,-659.9,1717.0,30.0,
140.0,35.0,40.0,-319.5,-386.8,-706.3,1763.4,30.0,
40.0,10.0,10.0,82.5,-59.0,23.5,264.9,60.0,
40.0,10.0,20.0,56.5,-80.9,-24.4,312.8,40.0,
40.0,10.0,30.0,30.0,-82.4,-52.4,343.8,30.0,
40.0,10.0,40.0,4.0,-102.1,-98.1,389.5,30.0,
60.0,15.0,10.0,-22.3,3.5,-18.8,408.9,40.0,
60.0,15.0,20.0,-34.3,-26.7,-61.0,473.6,30.0,
60.0,15.0,30.0,-58.4,-60.7,-119.1,531.7,30.0,
60.0,15.0,40.0,-81.6,-93.5,-175.1,587.7,20.0,
80.0,20.0,10.0,69.1,30.6,99.7,546.2,80.0,
80.0,20.0,20.0,51.3,6.8,58.1,587.8,80.0,
80.0,20.0,30.0,27.4,-17.1,10.3,641.6,70.0,
80.0,20.0,40.0,4.2,-40.9,-36.7,688.6,50.0,
100.0,25.0,10.0,-31.1,46.3,15.2,731.5,60.0,
100.0,25.0,20.0,-54.9,27.7,-27.2,773.9,60.0,
100.0,25.0,30.0,-78.8,9.1,-69.7,816.4,40.0,
100.0,25.0,40.0,-102.6,-9.5,-112.1,858.8,40.0,
120.0,30.0,10.0,36.6,29.5,66.1,864.5,50.0,
120.0,30.0,20.0,21.6,11.5,33.1,897.5,50.0,
120.0,30.0,30.0,6.1,-7.1,-1.0,931.6,50.0,
120.0,30.0,40.0,-9.4,-25.7,-35.1,965.7,50.0,
140.0,35.0,10.0,-248.5,-30.7,-279.2,1378.0,50.0,
140.0,35.0,20.0,-263.5,-50.8,-314.3,1413.1,50.0,
140.0,35.0,30.0,-268.9,-72.1,-341.0,1439.8,40.0,
140.0,35.0,40.0,-283.9,-92.3,-376.2,1475.0,40.0,
40.0,10.0,10.0,51.4,23.3,74.7,218.1,70.0,
